nct_id,brief_title,official_title,overall_status,phases,conditions,enrollment_count,sponsor_name,sponsor_class,eligibility_criteria,min_age,max_age,sex,tumor_types_matched,us_site_count
NCT06555588,Engage Psychosocial Intervention for Cancer Symptoms,Engage: A Randomized Controlled Trial Testing the Efficacy of a Telehealth-Delivered Psychosocial Intervention to Decrease Symptom Interference in Patients With Advanced Cancer,RECRUITING,NA,Advanced Breast Cancer|Advanced Prostate Cancer|Advanced Lung Cancer|Advanced Colorectal Carcinoma|Advanced Colorectal Adenocarcinoma,190,Duke University,OTHER,"Inclusion Criteria:

* Receiving cancer care at 1) a Duke Cancer Network (DCN) clinic; or 2) the Duke Cancer Institute (DCI) and live in a rural county at least 60 miles from Duke
* Oncologist confirmed Stage IV breast, prostate, lung, or colorectal cancer
* Worst pain, fatigue, or distress rated at \>/= 3 out of 10 in the past 7 days for at least 2 symptoms
* MD Anderson Symptom Inventory (MDASI) Interference with Daily Living Scale average score of \>/= 3 out of 10 in the past 7 days
* Eastern Cooperative Oncology Group (ECOG) performance status of 2 or lower
* At least 18 years old
* Ability to speak and read English
* Hearing and vision that allows for successful completion of telehealth sessions

Exclusion Criteria:

* Significant cognitive impairment indicated in medical chart or during telephone screening on a mental status questionnaire
* Serious psychiatric condition (e.g., schizophrenia, suicidal intent) that would contraindicate safe study participation
* Participation in the last 6 months in Cognitive-Behavioral Therapy or Acceptance and Commitment Therapy for cancer symptom management
* Enrollment in hospice at screening",18 Years,,ALL,breast|colorectal|prostate,1
NCT06557057,Impact of Aromatase Inhibitor Therapy on Glucose Homeostasis and Diabetes Risk,Impact of Aromatase Inhibitor Therapy on Glucose Homeostasis and Diabetes Risk,RECRUITING,,HER2-Positive Breast Carcinoma,66,Mayo Clinic,OTHER,"Inclusion Criteria:

* Post-menopausal women with hormone receptor positive breast cancer, ductal carcinoma in situ (DCIS), or with other high risk breast conditions. Post-menopause will be defined as women who experience 12 months of amenorrhea or have undergone bilateral salpingo-oophorectomy.

  * 25 women who are planning to start or are within 6 months of starting treatment with aromatase inhibitors, after consultation in breast clinic and cancer center.
  * 25 women who will be starting Tamoxifen (comparative group)
  * 25 healthy post menopausal women will also be recruited.

Exclusion Criteria:

* Established diagnosis of diabetes
* Therapy with medications that could affect glucose metabolism
* Screening fasting glucose ≥ 126 mg/dl, and/or HbA1c ≥ 6.5%
* History of upper GI surgery that alters gastric emptying or causing malabsorption e.g., bariatric surgery, fundoplication",,,FEMALE,breast,1
NCT06559059,"Evaluating the Implementation of a Comprehensive Multilevel Virtual Oncology Program Among Veterans Diagnosed With Lung, Colorectal, Prostate, and Breast Cancers in the US Department of Veterans Affairs","Evaluating the Implementation of a Comprehensive Multilevel Virtual Oncology Program Among Veterans Diagnosed With Lung, Colorectal, Prostate, and Breast Cancers in the US Department of Veterans Affairs",RECRUITING,NA,Lung Cancer Diagnosis|Colorectal Cancer (Diagnosis)|Prostate Cancer Diagnosis|Breast Cancer Diagnosis,1800,NYU Langone Health,OTHER,"Patients Inclusion Criteria:

1. A Veteran
2. Aged 18 years or older
3. Newly diagnosed with lung, prostate, breast, or colon cancer within 3 months of telemedicine visit
4. Engaged in an oncology visit during the 36-month analysis period at a Veterans Affairs Medical Center (VAMC) location.

VAMC Providers and Staff Inclusion Criteria:

1. Provider or staff member at one of the VAMC locations including physicians, nurse practitioners, physicians' assistants, and nurses caring for Veterans
2. Providers or staff members having helped provide care for at least 5 Veterans with cancer in the previous 6 months at a VAMC location

Patients Exclusion Criteria:

1. Veterans who have not seen any providers in the VA within the past year
2. Patients previously diagnosed with lung, prostate, breast, or colon cancer
3. Pregnant patients

VAMC Providers and Staff Exclusion Criteria:

1\. Providers or staff members who do not help treat Veterans with specified cancers in oncology at the VA",18 Years,,ALL,breast|colorectal|prostate,5
NCT06559540,Ultra-Hypofractionated vs. Hypofractionated Radiation for Node-Positive Breast Cancer,SWIFT RT: Ultra-Hypofractionated vs. Hypofractionated Radiation for Node-Positive Breast Cancer,RECRUITING,PHASE2,Node-positive Breast Cancer,220,Washington University School of Medicine,OTHER,"Inclusion Criteria:

* Histologically confirmed invasive carcinoma of the breast. Metaplastic breast cancer is allowed.
* AJCC 8th Edition Stage: cT1-3 primary tumor. cN1-2 or pN1-2.
* Biopsy-proven involved axillary node(s) (either at baseline and/or at time of surgery).
* Undergone either partial mastectomy (with negative final histologic margins (defined as no tumor on ink, after initial surgery or re-excision)) or mastectomy (with negative histologic margins defined as tumor (either invasive or in situ disease) \> 2 mm from the final margin).
* Nodal surgery with either sentinel lymph node biopsy or axillary lymph node dissection. Effort to recover the original biopsy-proven node should be performed at time of surgery.
* Systemic therapy (chemotherapy and/or endocrine therapy) should be administered as per standard of care and recommendation of medical oncology. Neoadjuvant and/or adjuvant systemic therapy is allowed. Concurrent endocrine therapy, anti-HER2 therapy, and immunotherapy during RT is allowed.
* All radiation therapy must be planned to be delivered at BJH or a Siteman satellite location.
* Female.
* Age ≥ 18 years at diagnosis.
* ECOG Zubrod performance status 0 or 1.
* English speaker.
* Able to understand and willing to sign IRB-approved written informed consent document.

Exclusion Criteria:

* Presence of distant metastases.
* Diagnosis of nonepithelial breast malignancies such as sarcoma or lymphoma.
* Diagnosis of bilateral breast cancer.
* AJCC cT4 disease, pT4 disease, or any skin involvement on exam or pathology, including dermal LVSI.
* Presence of palpable or radiographically suspicious supraclavicular, infraclavicular, or internal mammary nodes.
* Prior radiation therapy which would have any overlap with current radiation therapy plan.
* Diagnosis of prior breast cancer or diagnosis of current breast cancer more than one year prior to enrollment.
* Diagnosis of systemic lupus erythematosis, scleroderma, or dermatomyositis.
* Diagnosis of a coexisting medical condition which limits life expectancy to \< 2 years.
* Prior or concurrent malignancy whose natural history has the potential to interfere with the safety or efficacy assessment of the investigational treatment. Patients with prior or concurrent malignancy that does NOT meet that definition are eligible for this trial.
* Time between last breast cancer surgery to RT simulation is greater than 10 weeks, or time between completion of chemotherapy to RT simulation is greater than 8 weeks, whichever is performed last prior to RT.
* Planning to undergo concurrent chemotherapy.
* Pregnancy, which will be excluded prior to simulation.",18 Years,,FEMALE,breast,1
NCT06561386,A Study to Compare the Efficacy of Nivolumab and Relatlimab Plus Chemotherapy vs Pembrolizumab Plus Chemotherapy for Stage IV/Recurrent Non-squamous Non-small Cell Lung Cancer With PD-L1 Expression ≥ 1%,"A Phase 3, Randomized, Open-label Study of Nivolumab + Relatlimab Fixed-dose Combination With Chemotherapy Versus Pembrolizumab With Chemotherapy as First-line Treatment for Participants With Non-squamous (NSQ), Stage IV or Recurrent Non-small Cell Lung Cancer and With Tumor Cell PD-L1 Expression ≥ 1%",RECRUITING,PHASE3,Non-small Cell Lung Cancer,1000,Bristol-Myers Squibb,INDUSTRY,"Inclusion Criteria

* Participants must have histologically confirmed Stage IV or recurrent Non-small Cell Lung Cancer (NSCLC) of non-squamous (NSQ) histology with no prior systemic anti-cancer therapy given as primary therapy for advanced or metastatic disease.
* Participants must have measurable PD-L1 ≥ 1% Tumor Cell (TC) score by the investigational PD-L1 immunohistochemistry (IHC) assay VENTANA PD-L1 (SP263) CDx Assay conducted by central laboratory during the screening period prior to randomization.
* Participants must have measurable disease by computed tomography (CT) or magnetic resonance imaging (MRI) per RECIST v1.1 criteria.
* Participants must have an Easter Cooperative Oncology Group (ECOG) performance status of ≤ 1 at screening.
* Participants must have a life expectancy of at least 3 months at the time of randomization.

Exclusion Criteria

* Participants must not be pregnant and/or breastfeeding.
* Participants with epidermal growth factor receptor (EGFR), anaplastic lymphoma kinase (ALK), or ROS-1 mutations that are sensitive to available targeted inhibitor therapy. Participants with unknown EGFR, ALK, or ROS-1 status are excluded.
* Participants with known BRAFV600E mutations, that are sensitive to available targeted inhibitor therapy; participants with known activating rearranged during transfection (RET) mutations or neurotrophic tyrosine receptor kinase (NTRK) fusion gene alterations are excluded. Participants with unknown or indeterminate BRAF mutation, activating RET mutations or NTRK fusion gene alterations are eligible.
* Participants must not have untreated central nervous system (CNS) metastases.
* Participants must not have leptomeningeal metastases (carcinomatous meningitis).
* Participants must not have concurrent malignancy requiring treatment.
* Participants must not have an active autoimmune disease.
* Participants must not have history of interstitial lung disease or pneumonitis that required oral or intravenous (IV) glucocorticoids to assist with management.
* Participants must not have a history of myocarditis.
* Participants must not have had prior treatment with an anti-PD-1, anti-PD-L1, anti-PD-L2, or anti-CTLA-4 antibody, or other antibody or drug targeting T-cell co-stimulation or checkpoint pathways.
* Other protocol-defined Inclusion/Exclusion criteria apply.",18 Years,,ALL,nsclc,52
NCT06561685,A Study of LY4050784 in Participants With Advanced or Metastatic Solid Tumors,"An Open-label, Multicenter Study of LY4050784, a Selective SMARCA2/BRM Inhibitor, in Advanced Solid Tumor Malignancies With SMARCA4/BRG1 Alterations",RECRUITING,PHASE1,Metastatic Solid Tumor|Advanced Solid Tumor|Non-small Cell Lung Cancer|SMARCA4-Deficient Tumor,340,Eli Lilly and Company,INDUSTRY,"Inclusion Criteria:

* Have one of the following locally advanced or metastatic solid tumor malignancy with SMARCA4 (BRG1) alteration:

  * Phase 1a dose escalation: Presence of any alteration in SMARCA4 (BRG1)
  * Phase 1b expansion: Part A: Non-small Cell Lung Cancer (NSCLC) that is locally advanced and not suitable for definitive locoregional therapy, or metastatic with presence of a known or likely loss of function alteration in SMARCA4 (BRG1) or loss of protein expression.
  * Phase 1b expansion: Part B: Any tumor type (other than NSCLC) that has the presence of a known or likely loss of function alteration in SMARCA4 (BRG1) or loss of protein expression.
  * Phase 1b expansion: Part C: Non-small Cell Lung Cancer (NSCLC) that is locally advanced and not suitable for definitive locoregional therapy, or metastatic with presence of a known or likely loss of function alteration in SMARCA4 (BRG1) or loss of protein expression.
* Prior Systemic Therapy Criteria:

  * Phase 1a dose escalation and Phase 1b (Part B): Participants who received all standard therapies for which the individual was deemed to be an appropriate candidate by the treating Investigator; or the individual is refusing the remaining most appropriate standard of care treatment; or there is no standard therapy available for the disease.
  * Phase 1b expansion (Part A): Participants must have received at least one line of therapy for advanced or metastatic disease.
  * Phase 1b expansion (Part C): Participants may be treatment naïve or have received therapy for advanced or metastatic disease
* Measurability of disease

  * Phase 1a dose escalation (excluding backfill): measurable or non-measurable disease as defined by Response Evaluation Criteria in Solid Tumors v1.1 (RECIST v1.1)
  * Phase 1a backfill and Phase 1b expansion: Measurable disease required as defined by RECIST v1.1
* Have an Eastern Cooperative Oncology Group (ECOG) performance status score of 0 or 1

Exclusion Criteria:

* Participants with known or likely loss of function alteration of SMARCA2 (BRM) or malignancy with known association with SMARCA2 (BRM) alterations
* Prior exposure to SMARCA2 (BRM) inhibitor(s) and/or degrader(s) (prior exposure may be permitted for dose escalation)
* Participants with known or suspected history of untreated or uncontrolled central nervous system (CNS) involvement
* Participants with history of increased risk of prolonged QT or significant arrythmia
* Significant cardiovascular disease
* Participants with active and/or treated for an additional primary malignancy within 2 years prior to enrolment
* Participants who are pregnant, breastfeeding or plan to breastfeed or expecting to conceive or father children during study or within 6 months after the last dose of study intervention
* Participants with history of active autoimmune diseases, history of allogenic stem cell/organ transplant or compromised immune system within past 2 years (Part C only)",18 Years,,ALL,nsclc,17
NCT06562192,"Phase I Study of [177Lu]Lu-NNS309 in Patients With Pancreatic, Lung, Breast and Colorectal Cancers","Phase I Open-label, Multi-center Study to Evaluate the Safety, Tolerability, Dosimetry, and Preliminary Activity of [177Lu]Lu-NNS309 in Patients With Pancreatic, Lung, Breast and Colorectal Cancers",RECRUITING,PHASE1,Pancreatic Ductal Adenocarcinoma|Non-small Cell Lung Cancer|HR+/HER2- Ductal and Lobular Breast Cancer|Triple Negative Breast Cancer|Colorectal Cancer,162,Novartis Pharmaceuticals,INDUSTRY,"Inclusion Criteria:

* Age ≥ 18 years old
* Patients with one of the following indications:
* Locally advanced unresectable or metastatic PDAC with disease progression following, or intolerance to cytotoxic chemotherapy, unless patient was ineligible to receive such therapy
* Locally advanced unresectable or metastatic NSCLC without any actionable genomic alterations with disease progression following, or intolerance to chemotherapy and immunotherapy, unless patient was ineligible to receive such therapy, or locally advanced unresectable or metastatic NSCLC with an actionable genomic alteration with disease progression following, or intolerance to targeted therapy, unless patient was ineligible to receive such therapy
* Locally advanced unresectable or metastatic HR+/HER2- ductal or lobular BC with disease progression following, or intolerance to, at least 2 lines of therapy, unless patient was ineligible to receive such therapy
* Locally advanced unresectable or metastatic TNBC with disease progression following, or intolerance to, at least 2 lines of therapy, unless patient was ineligible to receive such therapy
* Locally advanced or metastatic unresectable CRC with disease progression following, or intolerance to cytotoxic chemotherapy, unless patient was ineligible to receive such therapy. Patients with known microsatellite instability-high (MSI-H) or mismatch repair deficient (dMMR) status must also have had disease progression following, or intolerance to immune checkpoint inhibitor therapy, unless patient was ineligible to receive such therapy
* Patients must have lesions showing 68Ga-NNS309 uptake

Exclusion Criteria:

* Absolute neutrophil count (ANC) \< 1.5 x 10\^9/L, hemoglobin \< 9 g/dL, or platelet count \< 100 x 10\^9/L
* QT interval corrected by Fridericia's formula (QTcF) ≥ 470 msec
* Calculated estimated glomerular filtration rate \< 60 mL/min/1.73m2
* Unmanageable urinary tract obstruction or urinary incontinence
* Radiation therapy within 4 weeks prior to the first dose of \[177Lu\]Lu-NNS309

Other protocol-defined inclusion/exclusion criteria may apply.",18 Years,100 Years,ALL,breast|colorectal|nsclc,9
NCT06562543,"A Trial to Evaluate the Safety and Activity of Fruquintinib in Minority Populations With Advanced, Previously Treated Colorectal Cancer",A Single Arm Phase 4 Trial to Evaluate the Safety and Efficacy of Oral Fruquintinib in the Treatment of Refractory Metastatic Colorectal Cancer in Patients From Minority Populations Underrepresented in Prior Fruquintinib Studies,RECRUITING,PHASE4,Colorectal Cancer,78,Takeda,INDUSTRY,"Inclusion Criteria:

1. Provide written (or electronic) informed consent.
2. Male or female aged more than or equal to (≥)18 years.
3. Presence of histologically and/or cytologically documented metastatic colorectal adenocarcinoma. Rat sarcoma virus (RAS) status for each participant must be documented.
4. Have been previously treated with standard approved therapies:

   * Fluoropyrimidine-, oxaliplatin-, and irinotecan-based chemotherapy,
   * An anti-vascular endothelial growth factor (VEGF) biological therapy (e.g., bevacizumab, aflibercept, ramucirumab \[regorafenib is NOT an anti-VEGF biologic\]), and
   * If RAS wild-type and medically appropriate, an anti-epidermal growth factor receptor (EGFR) therapy (e.g., cetuximab, panitumumab).
   * If known microsatellite instability-high (MSI-H) or deficient mismatch repair (dMMR) tumor and medically appropriate, a programmed cell death protein 1 (PD1) inhibitor.
5. Self-identify as Black and/or African American or Hispanic and/or Latino or as both.
6. Body weight ≥40 kilograms (kg).
7. Eastern Cooperative Oncology Group (ECOG) performance status of 0 to 1 at screening.
8. Have assessable disease according to RECIST version 1.1, assessed locally.
9. In participants of childbearing potential, agreement to use highly effective form(s) of contraception, which results in a low failure rate (less than \[\<\]1 percent \[%\] per year) when used consistently and correctly, starting during the screening period, continuing throughout the entire trial period, and for 2 weeks after taking the last dose of the trial intervention. Such methods include oral (PO) hormonal contraception (combined estrogen/progestogen or progestogen-only) associated with inhibition of ovulation, intrauterine device, intrauterine hormone-releasing system (IUS), bilateral tubal ligation, vasectomized partner, or true sexual abstinence in line with the preferred and usual lifestyle of the participant. Those assigned male sex at birth must always use a condom.

Exclusion Criteria:

1. Absolute neutrophil count (ANC) \<1.5 times 10\^9 per liter (10\^9/L), platelet count \<100 times 10\^9/L, or hemoglobin \<9.0 grams per deciliter (g/dL). Blood transfusion within 1 week prior to enrollment for the purpose of increasing the likelihood of eligibility is not allowed.
2. Serum total bilirubin more than (\>)1.5 times the upper limit of normal range (ULN). Participants with previously documented Gilbert syndrome and bilirubin \<2 times ULN are eligible.
3. Alanine aminotransferase (ALT) or aspartate aminotransferase (AST) \>2.5 times ULN in participants without hepatic metastases; ALT or AST \>5 times ULN in participants with hepatic metastases.
4. Creatinine clearance \<30 milliliters per minute (mL/min). Creatinine clearance can either be measured in a 24-hour urine collection or estimated by the Cockcroft-Gault equation. Where available and appropriate, other formulae may be used to estimate clearance after consultation with the trial medical monitor.
5. Urine dipstick or urinalysis with protein ≥2 positive or 24-hour urine protein ≥1.0 gram per 24 hours (g/24 hours). Participants with 1+ positive proteinuria must undergo a 24-hour urine collection to assess urine protein level.
6. Uncontrolled hypertension, defined as systolic BP ≥140 millimeter of mercury (mmHg) and/or diastolic blood pressure (BP) ≥90 mmHg despite optimal medical management. The participant must have BP below both limits. Repeated assessments are permitted.
7. International normalized ratio (INR) \>1.5 times ULN or activated partial thromboplastin time (aPTT) \>1.5 times ULN, unless the participant is currently receiving or intended to receive anticoagulants for prophylactic purposes.
8. History of or active gastric/duodenal ulcer or ulcerative colitis, active hemorrhage of an unresected gastrointestinal tumor, history of perforation or fistulas, or any other condition that could, in the investigator's judgment, result in gastrointestinal hemorrhage or perforation within the 6 months prior to screening.
9. History or presence of hemorrhage from any other site (e.g, hemoptysis or hematemesis) within 2 months prior to screening.
10. History of a thromboembolic event, including deep vein thrombosis, pulmonary embolism, or arterial embolism within 6 months prior to screening.
11. Stroke and/or transient ischemic attack within 12 months prior to screening.
12. Clinically significant cardiovascular disease, including but not limited to, acute myocardial infarction or coronary artery bypass surgery within 6 months prior to enrollment, severe or unstable angina pectoris, New York Heart Association Class III/IV congestive heart failure, ventricular arrhythmias requiring treatment, or left ventricular ejection fraction \<50% by echocardiogram.
13. QT interval, corrected using the Fridericia method (QTcF) \>480 milliseconds or any factors that increase the risk of QT interval, corrected based on the patient's heart rate (QTc) prolongation or risk of arrhythmic events such as hypokalemia, congenital long QT syndrome, or family history of long QT syndrome.
14. Systemic antineoplastic therapies (except for that described in exclusion criterion no. 15) or any investigational therapy within 2 weeks prior to the first dose of the trial intervention, including chemotherapy, radical radiotherapy, hormonotherapy, biotherapy, and immunotherapy.
15. Systemic small molecule targeted therapies (e.g., tyrosine kinase inhibitors \[TKIs\]) within 5 half-lives or 4 weeks (whichever is shorter) prior to the first dose of the trial intervention.
16. Palliative radiotherapy for bone metastasis/lesion within 2 weeks prior to the initiation of the trial intervention.
17. Brachytherapy (i.e., implantation of radioactive seeds) within 60 days prior to the first dose of the trial intervention.
18. Surgery or invasive procedure (i.e., a procedure that includes a biopsy; central venous catheter placement is allowed) within 14 days prior to the first dose of the trial intervention or unhealed surgical incision.
19. Any unresolved toxicities from previous antitumor treatments greater than NCI CTCAE, version 5.0, Grade 1 (except for alopecia or neurotoxicity Grade less than or equal to \[≤\]2).
20. Known human immunodeficiency virus infection.
21. Known history of active viral hepatitis. For participants with evidence of chronic hepatitis B virus (HBV) infection, the HBV viral load had to be undetectable on suppressive therapy, if indicated. Participants with hepatitis C virus (HCV) infection who are currently on treatment are eligible if they have an undetectable HCV viral load.
22. Clinically uncontrolled active infection requiring intravenous (IV) antibiotics.
23. Tumor invasion of a large vascular structure (e.g., pulmonary artery or superior or inferior vena cava).
24. Those who are currently pregnant or lactating.
25. Brain metastases and/or spinal cord compression untreated with surgery and/or radiotherapy, and without clinical imaging evidence of SD for 14 days or longer; participants requiring steroids within 4 weeks prior to the start of the trial intervention are to be excluded.
26. Other malignancy, except for non-melanoma skin cancer, in situ cervical carcinoma, or bladder carcinoma (tumor in situ and T1) that had been adequately treated during the 5 years prior to screening. Participants with another primary malignancy that has been adequately treated may be included after consultation with the trial medical monitor.
27. Inability to take medication PO, dysphagia, or an active gastric ulcer resulting from previous surgery (e.g., gastric bypass) or a severe gastrointestinal disease, or any other condition that investigators believe might affect absorption of the investigational medicinal product (IMP).
28. Other disease, metabolic disorder, physical examination anomaly, abnormal laboratory result, or any other condition (e.g., current alcohol or drug abuse) that investigators suspect might prohibit use of the IMP, affect interpretation of trial results, or put the participant at undue risk of harm based on the investigator's assessment.
29. Known hypersensitivity to fruquintinib or any of its inactive ingredients, including the azo dyes Tartrazine- Federal Food, Drug, and Cosmetic Act (FD\&C) Yellow 5 and Sunset yellow For Coloring Food (FCF)-FD\&C Yellow 6.
30. Received prior fruquintinib.
31. Live vaccine ≤28 days before the first dose of the trial intervention. Seasonal vaccines for influenza are generally inactivated vaccines and are allowed. Intranasal vaccines are live vaccines and are not allowed.
32. Use of strong inducers of cytochrome P450 3A4 (CYP3A4) within 2 weeks before the first dose of the trial intervention.",18 Years,,ALL,colorectal,44
NCT06563388,"Stereotactic Ablative Radiotherapy (SABR) for the Treatment of Patients With Metastatic Cancer, ID-COMET Trial",(ID-COMET) A Randomized Phase III Trial of Immediate Versus Six-Month Delayed Comprehensive Treatment of 1-10 Oligometastatic Tumors With or Without Synchronous Primary,RECRUITING,PHASE3,Oligometastasis|Lung Cancer|Colo-rectal Cancer|Prostate Cancer,800,Roswell Park Cancer Institute,OTHER,"Inclusion Criteria:

* Age 1 year or older.
* Willing to provide informed consent.
* ECOG ≤ 3.
* Life expectancy \> 6 months.
* Trials 1-3: Histologically confirmed lung, prostate or colorectal malignancy with metastatic disease detected on imaging. Biopsy of metastasis is preferred, but not required.
* Trial 4: Any malignancy with metastasis. Participants with liquid tumors are eligible provided they have biopsy confirmed refractory disease and are eligible for salvage radiotherapy.
* Newly diagnosed metastatic (1-10 sites)patients for Trials 1-3. Previously diagnosed metastatic patients (1-10 sites or oligoprogression in 5 or fewer sites with no limit on total number for Trial 4.
* Restaging completed within 12 (+/- 4) weeks prior to randomization.

  * For patients receiving thoracic radiotherapy, the enrolling physician must confirm there are no computed tomography (CT) changes suggestive of fibrotic interstitial lung disease (ILD) (i.e., reticular changes, traction bronchiectasis, or honeycombing) reported on any prior CT scans. If any are present, the patient must be assessed by a respirologist to rule out ILD prior to enrollment.
* Participants of child-bearing potential must agree to use adequate contraceptive methods (e.g., hormonal or barrier method of birth control; abstinence) prior to study entry.

Should a woman become pregnant or suspect she is pregnant while she or her partner is participating in this study, she should inform her treating physician immediately.

* Participant or legal representative must understand the investigational nature of this study and sign an Independent Ethics Committee/Institutional Review Board approved written informed consent form prior to receiving any study related procedure.

Exclusion Criteria:

* . Participants who have no option for standard systemic therapy or refuse systemic therapy.
* Participants who have had chemotherapy or radiotherapy within 3 weeks (6 weeks for nitrosoureas or mitomycin C) prior to entering the study or those who have not recovered from adverse events due to agents administered more than 3 weeks earlier.
* Serious medical comorbidities precluding radiotherapy. These include ILD in patients requiring thoracic radiation, Crohn's disease in patients where the gastrointestinal (GI tract will receive radiotherapy, or ulcerative colitis where the bowel will receive radiotherapy and connective tissue disorders such as lupus or scleroderma.
* For patients with liver metastases, moderate/severe liver dysfunction (Child Pugh B or C); please see the Child-Pugh score calculator.
* Substantial overlap with a previously treated radiation volume. Prior radiotherapy in general is allowed, as long as the composite plan meets dose constraints herein. For patients treated with radiation previously, biological effective dose calculations should be used to equate previous doses to the tolerance doses listed in Appendix E. All such cases must be discussed with the PI or Co-I .

  * Malignant pleural effusion.
* Inability to treat all sites of disease.

  * Metastatic disease that invades any of the following: GI tract (including esophagus, stomach, small or large bowel) or skin.
  * Participants with known brain metastases should be excluded from this clinical trial because of their poor prognosis and because they often develop progressive neurologic dysfunction that would confound the evaluation of neurologic and other adverse events.
  * Uncontrolled intercurrent illness including, but not limited to, ongoing or active infection, symptomatic congestive heart failure, unstable angina pectoris, cardiac arrhythmia, or psychiatric illness/social situations that would limit compliance with study requirements.
  * Pregnant or nursing female participants.",1 Year,,ALL,colorectal|prostate,1
NCT06565052,The Impact of PReOPerative Exercise and NutritionaL Optimization on Perioperative Outcomes for Patients Undergoing Treatment for Rectal Cancer: The PROPEL Trial,The Impact of PReOPerative Exercise and NutritionaL Optimization on Perioperative Outcomes for Patients Undergoing Treatment for Rectal Cancer: The PROPEL Trial,RECRUITING,NA,Rectal Cancer|Colorectal Cancer|Rectal Cancer Stage II|Rectal Cancer Stage III,40,Dana-Farber Cancer Institute,OTHER,"Inclusion Criteria:

* Age greater than or equal to 18 years at time of enrollment.
* English-Speaking.
* Diagnosis of clinical stage II-III rectal cancer.
* Planned, ongoing or just completed neoadjuvant treatment, including either 1) chemoradiation, 2) total neoadjuvant therapy (TNT), or 3) chemotherapy only; and anticipated surgical resection to follow.
* Able to understand the study procedures, agree to participate in the study program, and voluntarily provide informed consent.

Exclusion Criteria:

* Distant metastatic disease known at the time of diagnosis.
* Functional incapacity (i.e., incapable of performing exercise testing).
* Comorbid conditions or cognitive/physical impairments that contraindicate exercise.
* Currently undergoing treatment for a secondary primary tumor, in addition to primary rectal cancer.
* Currently enrolled in a separate clinical trial that would prohibit them from performing the tasks instructed in this trial.
* Currently participating in more than 60 minutes of moderate-to-vigorous aerobic exercise per week over the past month. This study targets insufficiently active persons to assess the effect of the described intervention, where additional exercise done regularly will contaminate the intervention effects.",18 Years,,ALL,colorectal,2
NCT06566443,Honokiol in Early-Stage Resectable Non-Small Cell Lung Cancer,Phase I Trial Evaluating the Safety of the Dietary Supplement Honokiol in Early-Stage Resectable Non-Small Cell Lung Cancer,RECRUITING,PHASE1,"Carcinoma, Non-Small-Cell Lung",15,The Methodist Hospital Research Institute,OTHER,"Inclusion Criteria:

1. The patient provides written informed consent for the trial. Spanish speaking patients will be included and translation services will be provided as needed.
2. Male or female, 18 years of age or older, on the day of informed consent signing.
3. Early stage NSCLC eligible for upfront definitive surgical resection
4. Measurable disease according to the Response evaluation criteria in solid tumors (RECIST 1.1) within 30 days of treatment.
5. Expected life expectancy of at least 6 months
6. Adequate organ and marrow function as defined below:

   Hemoglobin ≥9.0 g/dl (without blood transfusion within 2 weeks of laboratory test used to determine eligibility) Absolute neutrophil count ≥1000/μL (without granulocyte colony stimulating factor support within 2 weeks of laboratory test used to determine eligibility) Platelet count ≥100,000/μL (without transfusion within 2 weeks of laboratory test used to determine eligibility)- Serum total bilirubin (TB) ≤1.5 x institutional upper limit of normal (ULN; In the case of known Gilbert's syndrome, a higher serum TB \[\>1.5 x ULN\] is allowed), Aspartate transaminase/alanine transaminase ≤5 x institutional ULN Creatinine ≤1.5X the ULN or measured creatinine clearance ≥ 60 mL/min/1.
7. Willing and able to comply with the protocol for the duration of the trial including undergoing treatment and scheduled visits and examinations.

Exclusion Criteria:

1. Currently participating and receiving study therapy or has participated in a study of an investigational agent and received study therapy or used an investigational device within 3 weeks of trial treatment administration.
2. Prior chemotherapy, targeted small molecule therapy, or radiation therapy within 2 weeks prior to trial treatment administration or who has not recovered (i.e., ≤ Grade 1 or at baseline) from Adverse Events (AEs) due to a previously administered agent.
3. Use of agents that target the mitochondrial metabolism.
4. Has a known additional malignancy that is progressing or requires active treatment. Exceptions include basal cell carcinoma of the skin or squamous cell carcinoma of the skin that has undergone potentially curative therapy or in situ cervical cancer.
5. The patient has serious and/or uncontrolled preexisting medical condition(s) that, in the judgment of the investigator, would preclude participation in this study (for example, interstitial lung disease, severe dyspnea at rest or requiring oxygen therapy, severe renal impairment \[e.g. estimated creatinine clearance \<30ml/min\], history of major surgical resection involving the stomach or small bowel, or preexisting Crohn's disease or ulcerative colitis or a preexisting chronic condition resulting in baseline Grade 2 or higher diarrhea).
6. History or current evidence of any condition, therapy, or laboratory abnormality that might confound the results of the trial, interfere with the patient's participation for the full duration of the trial, or is not in the best interest of the patient to participate, in the opinion of the treating investigator.
7. Known psychiatric or substance abuse disorders that would interfere with cooperation with the requirements of the trial.
8. Eastern Cooperative Oncology Group (ECOG) performance status of ≥ 2.
9. Patients must have recovered from all AEs due to previous therapies to ≤ Grade 1 or baseline. Patients with ≤ Grade 2 neuropathy may be eligible. If patient received major surgery, she must have recovered adequately from the toxicity and/or complications from the intervention prior to starting the trial treatment.
10. Active infection requiring systemic therapy.
11. Confirmed positive pregnancy test in women of childbearing potential (WOCBP).",18 Years,,ALL,nsclc,1
